Start (ms)	Stop (ms)	seq.pulse_length	Doppler PMT	PMT1_2(sum)	PMT1_2(0)	PMT1_2(1)	PMT1_2(2)	PMT1_2(3)	PMT1_2(4)	PMT1_2(5)	PMT1_2(6)	PMT1_2(7)	PMT1_2(8)	PMT1_2(9)	PMT1_2(10)	PMT1_2(11)	PMT1_2(12)	PMT1_2(13)	PMT1_2(14)	PMT1_2(15)	PMT1_2(16)	PMT1_2(17)	PMT1_2(18)	PMT1_2(19)	PMT1_2(20)	PMT1_2(21)	PMT1_2(22)	PMT1_2(23)	PMT1_2(24)	PMT1_2(25)	PMT1_2(26)	PMT1_2(27)	PMT1_2(28)	PMT1_2(29)	PMT1_2(30)	PMT1_2(31)	PMT1_2(32)	PMT1_2(33)	PMT1_2(34)	PMT1_2(35)	PMT1_2(36)	PMT1_2(37)	PMT1_2(38)	PMT1_2(39)	PMT1_2(40)	PMT1_2(41)	PMT1_2(42)	PMT1_2(43)	PMT1_2(44)	PMT1_2(45)	PMT1_2(46)	PMT1_2(47)	PMT1_2(48)	PMT1_2(49)	PMT1_2(50)	PMT1_2(51)	PMT1_2(52)	PMT1_2(53)	PMT1_2(54)	PMT1_2(55)	PMT1_2(56)	PMT1_2(57)	PMT1_2(58)	PMT1_2(59)	PMT1_2(60)	PMT1_2(61)	PMT1_2(62)	PMT1_2(63)	PMT1_2(64)	PMT1_2(65)	PMT1_2(66)	PMT1_2(67)	PMT1_2(68)	PMT1_2(69)	PMT1_2(70)	PMT1_2(71)	PMT1_2(72)	PMT1_2(73)	PMT1_2(74)	PMT1_2(75)	PMT1_2(76)	PMT1_2(77)	PMT1_2(78)	PMT1_2(79)	PMT1_2(80)	PMT1_2(81)	PMT1_2(82)	PMT1_2(83)	PMT1_2(84)	PMT1_2(85)	PMT1_2(86)	PMT1_2(87)	PMT1_2(88)	PMT1_2(89)	PMT1_2(90)	PMT1_2(91)	PMT1_2(92)	PMT1_2(93)	PMT1_2(94)	PMT1_2(95)	PMT1_2(96)	PMT1_2(97)	PMT1_2(98)	PMT1_2(99)
1,5378E+12	1,5378E+12	15.722.850	1	3642	39	48	45	13	50	53	32	39	37	6	37	34	38	41	37	45	32	46	41	9	47	24	31	3	34	46	7	45	34	38	41	39	44	33	32	38	40	41	49	45	32	45	48	47	4	39	41	36	45	42	39	42	35	41	48	10	40	39	35	44	33	31	48	46	30	7	31	37	33	33	47	46	39	34	38	37	49	34	39	94	40	31	9	35	30	36	50	38	35	9	41	46	33	49	38	38	43	7	34	29
1,5378E+12	1,5378E+12	16.325.260	1	3735	47	41	32	13	38	30	51	43	41	41	25	39	27	44	28	42	51	33	36	32	4	45	39	35	56	38	44	38	35	38	39	49	26	34	29	73	32	41	7	6	23	40	30	30	49	45	37	37	36	49	15	43	38	43	43	42	54	38	44	49	34	42	24	41	38	43	34	30	8	33	35	44	46	37	7	41	40	39	35	36	42	39	41	3	40	70	44	48	54	40	43	34	30	40	49	44	40	41	41	38
1,5378E+12	1,5378E+12	16.927.670	1	3712	41	38	40	5	43	48	43	42	44	7	42	53	32	44	31	44	41	49	101	38	44	46	43	26	40	25	48	10	30	41	46	33	34	33	28	37	31	36	8	36	42	36	3	40	42	42	37	43	25	41	36	44	11	40	45	46	41	38	39	37	4	41	42	36	33	33	45	43	41	38	33	46	33	33	36	8	6	35	36	31	45	31	46	53	39	42	47	47	35	39	11	46	47	54	29	44	44	48	36	47
1,5378E+12	1,5378E+12	17.530.080	1	4011	44	47	52	5	45	47	38	38	8	36	39	45	43	33	37	45	41	38	33	43	27	39	36	34	31	39	54	33	36	41	34	32	51	50	41	34	36	27	44	40	34	37	37	40	61	43	46	36	50	29	40	32	39	40	113	44	39	39	38	42	34	49	44	40	33	9	41	46	51	42	41	47	42	39	49	40	34	34	36	31	44	49	42	36	49	44	44	46	36	46	35	8	53	39	46	35	45	46	44	47
1,5378E+12	1,5378E+12	18.132.490	1	3595	33	38	43	42	38	29	38	7	32	7	46	8	10	35	38	12	41	33	45	6	33	33	39	8	40	34	32	52	39	58	31	51	41	40	36	37	37	37	48	47	37	45	26	36	43	35	38	46	41	31	47	40	51	40	38	40	44	31	45	5	43	7	27	27	30	47	45	42	39	42	42	46	42	32	56	8	47	9	41	42	52	52	32	40	41	42	34	10	41	8	47	39	52	43	40	47	39	29	47	33
1,5378E+12	1,5378E+12	18.734.900	1	3514	31	44	29	37	9	38	61	42	40	38	55	36	49	48	13	10	11	11	49	33	33	39	6	41	40	49	40	43	34	26	9	40	40	42	38	36	35	43	5	33	39	45	10	41	38	47	45	8	32	46	38	39	50	41	41	47	26	32	40	11	30	44	38	53	37	4	32	43	43	6	46	46	48	34	35	14	38	41	35	41	34	41	49	12	59	43	36	37	46	34	8	41	33	36	57	52	35	8	34	39
1,5378E+12	1,5378E+12	19.337.310	1	3373	49	50	5	51	35	9	41	6	3	29	33	39	5	42	34	37	48	36	45	44	42	47	39	14	11	29	7	38	44	47	31	43	47	8	38	33	36	39	35	47	47	44	27	30	46	32	36	44	36	37	13	5	41	43	43	43	44	45	31	6	48	44	51	41	31	42	5	31	25	42	6	44	39	10	54	36	5	49	50	6	37	36	4	42	33	35	37	10	47	39	46	42	40	47	43	27	50	42	44	4
1,5378E+12	1,5378E+12	19.939.720	1	3950	10	32	38	36	47	35	3	72	42	157	6	8	57	33	7	40	36	7	52	40	40	29	40	46	8	11	38	3	46	40	10	51	41	40	39	48	6	31	5	43	48	31	36	46	57	6	38	9	32	45	40	36	34	31	50	45	47	35	38	36	43	34	11	48	34	42	49	8	15	39	50	5	35	36	35	42	31	43	46	25	50	551	9	45	39	35	8	40	45	50	36	7	41	53	36	30	37	9	10	35
1,5378E+12	1,5378E+12	20.542.130	1	3277	46	44	13	35	38	13	11	56	38	39	26	41	25	46	5	44	40	54	58	32	45	12	4	32	33	6	42	33	34	36	38	36	39	37	33	39	30	7	36	44	34	8	24	5	7	11	51	35	24	33	41	43	38	41	8	12	44	49	48	57	33	49	35	43	7	51	32	30	8	48	50	3	51	51	46	31	57	42	35	52	41	42	40	44	6	5	44	32	39	52	8	13	29	38	51	5	43	11	11	36
1,5378E+12	1,5378E+12	21.144.540	1	3015	6	29	42	43	8	46	46	47	43	12	30	38	39	44	5	42	30	36	6	28	36	37	42	41	41	37	37	39	4	176	32	36	8	8	40	9	42	9	10	35	37	31	28	12	43	8	32	11	35	36	40	40	36	51	7	41	29	36	8	50	43	4	50	7	9	42	39	8	44	11	40	6	35	33	42	48	6	15	43	46	40	8	39	41	7	48	7	33	6	5	42	47	8	7	32	9	36	42	4	33
