x,w01,w02
0.0611,3.3314,4.1673,
0.0631,3.3284,4.1642,
0.0651,3.3253,4.1610,
0.0671,3.3220,4.1577,
0.0691,3.3187,4.1542,
0.0711,3.3153,4.1507,
0.0731,3.3118,4.1471,
0.0751,3.3081,4.1434,
0.0771,3.3044,4.1395,
0.0791,3.3006,4.1356,
0.0811,3.2967,4.1316,
0.0831,3.2927,4.1274,
0.0851,3.2885,4.1232,
0.0871,3.2843,4.1189,
0.0891,3.2800,4.1144,
0.0911,3.2756,4.1099,
0.0931,3.2711,4.1052,
0.0951,3.2665,4.1005,
0.0971,3.2618,4.0956,
0.0991,3.2570,4.0906,
0.1011,3.2520,4.0856,
0.1031,3.2470,4.0804,
0.1051,3.2419,4.0751,
0.1071,3.2367,4.0698,
0.1091,3.2314,4.0643,
0.1111,3.2260,4.0587,
0.1131,3.2205,4.0530,
0.1151,3.2148,4.0472,
0.1171,3.2091,4.0413,
0.1191,3.2033,4.0353,
0.1211,3.1974,4.0291,
0.1231,3.1914,4.0229,
0.1251,3.1852,4.0166,
0.1271,3.1790,4.0102,
0.1291,3.1727,4.0036,
0.1311,3.1663,3.9970,
0.1331,3.1597,3.9902,
0.1351,3.1531,3.9833,
0.1371,3.1464,3.9763,
0.1391,3.1395,3.9693,
0.1411,3.1326,3.9621,
0.1431,3.1255,3.9548,
0.1451,3.1184,3.9473,
0.1471,3.1111,3.9398,
0.1491,3.1038,3.9322,
0.1512,3.0963,3.9244,
0.1532,3.0887,3.9166,
0.1552,3.0811,3.9086,
0.1572,3.0733,3.9005,
0.1592,3.0654,3.8923,
0.1612,3.0574,3.8840,
0.1632,3.0494,3.8756,
0.1652,3.0412,3.8671,
0.1672,3.0329,3.8584,
0.1692,3.0245,3.8497,
0.1712,3.0159,3.8408,
0.1732,3.0073,3.8318,
0.1752,2.9986,3.8227,
0.1772,2.9898,3.8135,
0.1792,2.9808,3.8041,
0.1812,2.9718,3.7947,
0.1832,2.9626,3.7851,
0.1852,2.9534,3.7754,
0.1872,2.9440,3.7656,
0.1892,2.9345,3.7556,
0.1912,2.9249,3.7456,
0.1932,2.9152,3.7354,
0.1952,2.9054,3.7251,
0.1972,2.8955,3.7147,
0.1992,2.8855,3.7041,
0.2012,2.8753,3.6934,
0.2032,2.8651,3.6826,
0.2052,2.8547,3.6717,
0.2072,2.8443,3.6607,
0.2092,2.8337,3.6495,
